date;real_gdp;real_oil;real_final_cons;uti;constant_gdp;hours;capital_net;final_energy_mtoe;;
01/01/09;6.49658462037972;44.1545048505371;6.24381456746916;0.747;3138226.92556767;0.224404761904762;37816.3855781602;281.309802168023;;44,15450485
01/04/09;6.49538354945155;60.7722056075747;6.24665245233261;0.704;3129544.50753707;0.224404761904762;37912.9867914978;277.06718841268;;60,77220561
01/07/09;6.49666751236809;69.2185892697318;6.24950744058307;0.699;3139044.22210496;0.224404761904762;38014.4306066689;276.828693122328;;69,21858927
01/10/09;6.4990289441525;77.3998723154886;6.25043466559976;0.712;3155781.83334859;0.224404761904762;38120.7170236735;280.59431629697;;77,39987232
01/01/10;6.50080271981477;79.4529048845221;6.25462538286305;0.73;3168835.32229217;0.223214285714286;38231.8460425115;288.364057936603;;79,45290488
01/04/10;6.50495288605484;77.9258471712435;6.26218338216231;0.76;3199599.97998399;0.223214285714286;38345.1592330422;292.446331417815;;77,92584717
01/07/10;6.50717953186096;75.5596565303103;6.26710209485152;0.777;3216103.66629553;0.223214285714286;38460.6565952654;292.841136740606;;75,55965653
01/10/10;6.50964422924288;84.6747921399993;6.26904325534926;0.786;3233876.8058264;0.223214285714286;38578.3381291812;289.548473904976;;84,67479214
01/01/11;6.51290716842102;92.7618957655282;6.27343578918826;0.803;3258386.62848114;0.222619047619048;38698.2038347896;282.568342910926;;92,76189577
01/04/11;6.51332962293778;101.64500619303;6.27252708798815;0.82;3261309.08117434;0.222619047619048;38810.4045831171;277.668953348935;;101,6450062
01/07/11;6.51383120017719;88.7661719482882;6.2743203327839;0.807;3265076.48618697;0.222619047619048;38914.9403741639;274.850305219005;;88,76617195
01/10/11;6.51290036933214;92.5967301649258;6.27586250106761;0.8;3257305.85153526;0.222619047619048;39011.8112079299;274.112398521134;;92,59673016
01/01/12;6.51279204949073;100.36689112198;6.28152243478289;0.803;3256487.44120689;0.22202380952381;39101.0170844151;275.455233255322;;100,3668911
01/04/12;6.51173130456829;90.4520381261801;6.28425219647917;0.802;3248413.32416385;0.22202380952381;39184.9326012432;276.660273846869;;90,45203813
